policy,metric,mean,ci_lo,ci_hi
random,recall@10,0.04541839384431742,0.04249714702578084,0.0486922379518805
random,ndcg@10,0.05337165387991128,0.05060608371490597,0.05648582953574093
random,uplift@10,-0.0006030536562075463,-0.0022126934431528503,0.0011559855864290095
popularity,recall@10,0.23029036565561323,0.2237656392840762,0.23632492583625056
popularity,ndcg@10,0.3226540070844689,0.31570010163348294,0.3300501881797877
popularity,uplift@10,-0.0006173638167887448,-0.002231453996538751,0.0011467808758921583
previously-bought,recall@10,0.288893126172366,0.28111929779937894,0.29573949010178907
previously-bought,ndcg@10,0.40996385883369724,0.40029355911011566,0.4192266484963002
previously-bought,uplift@10,-0.0010256530612475384,-0.0026143978879133527,0.0007388464302344702
relevance-only,recall@10,0.3570337471458279,0.35087891005535565,0.36316716879625843
relevance-only,ndcg@10,0.48365591342697656,0.4754951519399802,0.4917300796349365
relevance-only,uplift@10,-0.0008715178990489664,-0.002469437668295269,0.0008977145021388808
uplift-only (tau_t),recall@10,0.045688753743635714,0.042542250206514975,0.04888295021551212
uplift-only (tau_t),ndcg@10,0.05072722753518345,0.04771514860163114,0.05365860312696541
uplift-only (tau_t),uplift@10,-0.0006673767173472557,-0.002273727666411315,0.00108821828467713
"mixed (tau_t, λ*=0.0)",recall@10,0.3570337471458279,0.35087891005535565,0.36316716879625843
"mixed (tau_t, λ*=0.0)",ndcg@10,0.48365591342697656,0.4754951519399802,0.4917300796349365
"mixed (tau_t, λ*=0.0)",uplift@10,-0.0008715178990489664,-0.002469437668295269,0.0008977145021388808
