policy,k,Recall@K,Precision@K,HitRate@K,NDCG@K,MAP@K
random,1,0.005318975454991778,0.05025,0.05025,0.05025,0.05025
random,3,0.013153245716260285,0.04416666666666667,0.12625,0.046059683630362995,0.0816875
random,5,0.022125884124790527,0.046299999999999994,0.2065,0.04831356095216087,0.09893958333333333
random,10,0.04561069658127401,0.046599999999999996,0.35025,0.05357784132914202,0.11302688161375661
random,20,0.08674972963839048,0.0459375,0.5355,0.06719236351901244,0.11414449291375268
popularity,1,0.07504222008417116,0.5115,0.5115,0.5115,0.5115
popularity,3,0.1194784592363733,0.32425,0.66925,0.37855817836002426,0.5815833333333332
popularity,5,0.15751660205568022,0.27965000000000007,0.73825,0.347926150476515,0.5596159722222223
popularity,10,0.23019615462675677,0.2195,0.808,0.32275805228543947,0.5138160570200303
popularity,20,0.32514474125624293,0.1651,0.8565,0.33132937720744426,0.45789787126218834
previously-bought,1,0.07820809081379222,0.5895,0.5895,0.5895,0.5895
previously-bought,3,0.15397554620606455,0.4486666666666666,0.71625,0.4904100723376554,0.6368541666666667
previously-bought,5,0.20625254341275512,0.38355,0.75125,0.4503382731015979,0.6203041666666665
previously-bought,10,0.2889387268334393,0.2944,0.78875,0.4100026153941585,0.5806177495118418
previously-bought,20,0.3762604241322676,0.20758749999999998,0.82625,0.40210598221591565,0.5392622708776924
relevance-only,1,0.09464212123168846,0.66875,0.66875,0.66875,0.66875
relevance-only,3,0.18486130484879307,0.5103333333333333,0.80725,0.559325337287608,0.719125
relevance-only,5,0.24798539942482212,0.44175,0.84825,0.5196955674670612,0.6952822916666667
relevance-only,10,0.3568467011835645,0.34574999999999995,0.89375,0.4836550605119895,0.6419912768487025
relevance-only,20,0.49192921587602184,0.25303749999999997,0.921,0.49213338803709245,0.5713398373935357
uplift-only (tau_t),1,0.00554850081031501,0.04475,0.04475,0.04475,0.04475
uplift-only (tau_t),3,0.01587296493275669,0.04325,0.11925,0.04441598457540616,0.07495833333333334
uplift-only (tau_t),5,0.024253798348187472,0.04205,0.17625,0.045002430244104094,0.08657083333333332
uplift-only (tau_t),10,0.045528311992284215,0.042175,0.2995,0.05065538751312735,0.09908620630196524
uplift-only (tau_t),20,0.08955490126537088,0.0451875,0.47925,0.06766437598623071,0.1042650089317186
uplift-only (tau_dr),1,0.03872499422852101,0.226,0.226,0.226,0.226
uplift-only (tau_dr),3,0.07952231008039044,0.195,0.232,0.2080799812440084,0.22841666666666668
uplift-only (tau_dr),5,0.10196531892390874,0.17095000000000002,0.23675,0.1971789094727654,0.22976805555555554
uplift-only (tau_dr),10,0.13475339830900487,0.13222499999999998,0.271,0.18444383682920013,0.23493208002645502
uplift-only (tau_dr),20,0.17411061427379482,0.089625,0.352,0.18264759501607447,0.24130256951578752
"mixed (tau_t, λ*=0.0)",1,0.09464212123168846,0.66875,0.66875,0.66875,0.66875
"mixed (tau_t, λ*=0.0)",3,0.18486130484879307,0.5103333333333333,0.80725,0.559325337287608,0.719125
"mixed (tau_t, λ*=0.0)",5,0.24798539942482212,0.44175,0.84825,0.5196955674670612,0.6952822916666667
"mixed (tau_t, λ*=0.0)",10,0.3568467011835645,0.34574999999999995,0.89375,0.4836550605119895,0.6419912768487025
"mixed (tau_t, λ*=0.0)",20,0.49192921587602184,0.25303749999999997,0.921,0.49213338803709245,0.5713398373935357
"mixed (tau_dr, λ*=0.0)",1,0.09464212123168846,0.66875,0.66875,0.66875,0.66875
"mixed (tau_dr, λ*=0.0)",3,0.18486130484879307,0.5103333333333333,0.80725,0.559325337287608,0.719125
"mixed (tau_dr, λ*=0.0)",5,0.24798539942482212,0.44175,0.84825,0.5196955674670612,0.6952822916666667
"mixed (tau_dr, λ*=0.0)",10,0.3568467011835645,0.34574999999999995,0.89375,0.4836550605119895,0.6419912768487025
"mixed (tau_dr, λ*=0.0)",20,0.49192921587602184,0.25303749999999997,0.921,0.49213338803709245,0.5713398373935357
