policy,k,mean_tau_per_item,mean_tau_per_client,aipw_value_per_item
random,5,-0.0006679172771803694,-0.003339586385901847,-0.005302319435527652
random,10,-0.0006770280588139561,-0.0067702805881395605,-0.00552595638651371
random,20,-0.0006739085667885898,-0.013478171335771788,-0.00442219386356728
popularity,5,-0.0007338292544255384,-0.0036691462721276918,-0.003810597066392514
popularity,10,-0.0006909052863413803,-0.006909052863413804,-0.004737929340397087
popularity,20,-0.0006597087041748806,-0.01319417408349761,-0.007707131612471068
previously-bought,5,-0.0011409827543951883,-0.005704913771975944,0.002456008519583018
previously-bought,10,-0.0010979623510837327,-0.010979623510837325,-0.006335909816836646
previously-bought,20,-0.0010236740507979236,-0.020473481015958476,-0.008806657273654506
relevance-only,5,-0.0009961051573593536,-0.004980525786796768,-0.004239377475229023
relevance-only,10,-0.0009439423905691772,-0.009439423905691774,-0.003905682026298949
relevance-only,20,-0.000885105624081887,-0.017702112481637743,-0.0058834528521546775
uplift-only (tau_t),5,-0.0007728164788335688,-0.0038640823941678416,-0.00035114768970074904
uplift-only (tau_t),10,-0.0007412652557377821,-0.0074126525573778215,-0.003013779519036686
uplift-only (tau_t),20,-0.00071647979657506,-0.01432959593150119,-0.003841158093437418
uplift-only (tau_dr),5,-0.0002258833466211675,-0.0011294167331058374,-0.00937339926971438
uplift-only (tau_dr),10,-0.00023912690742707309,-0.0023912690742707286,-0.009954143296315585
uplift-only (tau_dr),20,-0.00027158367747349467,-0.005431673549469893,-0.011683073415359185
"mixed (tau_t, λ*=0.0)",5,-0.0009961051573593536,-0.004980525786796768,-0.004239377475229023
"mixed (tau_t, λ*=0.0)",10,-0.0009439423905691772,-0.009439423905691774,-0.003905682026298949
"mixed (tau_t, λ*=0.0)",20,-0.000885105624081887,-0.017702112481637743,-0.0058834528521546775
"mixed (tau_dr, λ*=0.0)",5,-0.0009961051573593536,-0.004980525786796768,-0.004239377475229023
"mixed (tau_dr, λ*=0.0)",10,-0.0009439423905691772,-0.009439423905691774,-0.003905682026298949
"mixed (tau_dr, λ*=0.0)",20,-0.000885105624081887,-0.017702112481637743,-0.0058834528521546775
